,loc_index,exist_num,longitude,latitude,地址
0,1253,64525,112.843611,35.496388,山西省晋城市城区南街街道红星西街273号瑞丰大厦(建设路)
1,1034,61341,112.85,35.4932,山西省晋城市城区钟家庄街道泽州路1626号中国联通(凤台合作厅)
2,1986,57187,112.843055,35.518888,山西省晋城市城区北街街道火锅饸饹
3,5115,56960,112.8475,35.506388,山西省晋城市城区东街街道尚花早教晋城基地君临花园
8,3651,53915,112.83749,35.5045,山西省晋城市城区东街街道观巷68号观巷吐月市场
9,239,52095,112.88777,35.47671,山西省晋城市城区开发区街道桃苑路
11,219,47787,112.84803,35.47602,山西省晋城市城区钟家庄街道泽州南路1133号白水印象
15,3938,44260,112.821,35.4838,山西省晋城市城区文昌西街文凤苑
16,5473,43115,112.835489,35.512832,山西省晋城市城区北街街道文明南路晋城煤业集团古书院矿中学校
17,7130,42685,112.859522,35.484885,山西省晋城市城区钟家庄街道文昌东街984号
19,1063,40060,112.83649,35.4862,山西省晋城市城区南街街道黄华街1438号宜家轻纺城
24,6634,37523,112.855081,35.51234,山西省晋城市城区钟家庄街道庄景街
25,1401,37181,112.822222,35.486111,山西省晋城市城区南街街道前进路183号华悦郡府
23,3311,37724,112.850833,35.498611,山西省晋城市城区东街街道凤台中学
26,6283,36784,112.8795,35.4814,山西省晋城市城区开发区街道圆梦城市广场鑫超财富广场B座
27,57,36358,112.82517,35.481687,山西省晋城市城区泽州一中
28,8,36088,112.8265,35.4994,山西省晋城市城区西街街道新市西街1914号泽州县人民医院
29,1380,34503,112.873333,35.4975,山西省晋城市城区开发区街道中国邮政储蓄银行(晋城市开发区支行)泰富新居
10,3289,50515,112.838055,35.5,山西省晋城市城区南街街道森宝商贸有限公司商业大厦晋城商业大厦
14,1368,46518,112.813333,35.490833,山西省晋城市城区西上庄街道泽州县公安局刑侦大队
